Hotel Name,Review
Chicago South Loop Hotel,"The place gave me a creepy vibe, mostly because of the lighting’s Parking was included No outside lights when I was checking in,even though it was dark outside. I initially thought the hotel was out of business. The lighting inside also was very dim. The hair dryer had been removed from the wall and I had to go get one from the front desk."
Chicago South Loop Hotel,Good price for marathon weekend but a 3 star hotel Friendly staff and good location for the marathon. Room was spacious and beds were comfy. We were upgraded to 2 double beds for free on arrival and given a free early check in. Everything a bit tired and in need of an update. The shower didn’t work very well and at least one lift was out of order each day. Breakfast wasn’t great (self serve cold buffet) and coffee was not good.
Chicago South Loop Hotel,It was average Close to town Noise at night
Chicago South Loop Hotel,"Comfortable and quite just outside of downtown. The bed was very comfortable and the hotel was quiet at night.
I was attending a conference at McCormick Place and this is a fantastic location for walking to the event.
When I was checking in, I was early and the room was not ready yet. The lady at the check out counter was super friendly and got me checked in as soon as she was able. The only improvement I can offer is changing the shower head to new efficient shower head for better water pressure."
Chicago South Loop Hotel,"Had a great and comfortable stay Staff was excellent, very friendly. Great view of the city from the 5th floor Could have been a little cleaner but overall not bad"
Chicago South Loop Hotel,MISSED MY TRAIN FURNISHINGS WERE EXCELLENT. RICO BENES WAS WITHIN EASY WALKING DISTANCE. HOTEL SECURITY ALLOWED UNDESIRABLES INTO LOBBY UNESCOURTED. ELEVATOR WAS UNRELIABLE.
Chicago South Loop Hotel,"Good price for what I got Room was spacious and comfortable, good price, TV had streaming A/C was super loud. Shower was underwhelming and there was no bodywash."
Chicago South Loop Hotel,"Pleasant Location and price. Staff were friendly Cleanliness, coffee pot in room did not work"
Chicago South Loop Hotel,Good for a night Best deal in Chicago with parking on site near downtown had breakfast rooms were huge beds comfy and pillows Tv is ruko not enough internet strength on 4th floor had to use my phone as a hotspot
Chicago South Loop Hotel,Elevator problem The room was clean and comfy The elevator always broken
Hampton Inn Chicago McCormick Place,I enjoyed my stay even though it was just for a night 🤗 Cleanliness
Hampton Inn Chicago McCormick Place,"Good place to stay for a conference Clean, attached to conference center Breakfast could have better quality fruit"
Hampton Inn Chicago McCormick Place,I’ll stay again Very good Eggs we’re rynny
Hampton Inn Chicago McCormick Place,"Comfortable Stay Room was spacious and comfortable. Hotel has a Starbucks below it and is close to eating places and a mini market. Staff were friendly and accommodating, especially Luis at the Front Desk and Ashley at the Breakfast room. Breakfast could do a little bit more as to food choices/options."
