Name,Rating,Price per Night,URL
Chicago South Loop Hotel,6.3,76,https://www.booking.com/hotel/us/chicago-south-loop.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=50144518_92501885_2_0_0&highlighted_blocks=50144518_92501885_2_0_0&matching_block_id=50144518_92501885_2_0_0&sr_pri_blocks=50144518_92501885_2_0_0__7610&from=searchresults
Hampton Inn Chicago McCormick Place,8.4,135,https://www.booking.com/hotel/us/hampton-inn-chicago-mccormick-place.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=323560002_402984216_2_1_0_1254342&highlighted_blocks=323560002_402984216_2_1_0_1254342&matching_block_id=323560002_402984216_2_1_0_1254342&sr_pri_blocks=323560002_402984216_2_1_0_1254342_13520&nad_id=3f931983-386f-45e2-a830-7d8ae7a93629_4&nad_cpc=1.88&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NjQ3ODYzOTc5MzUsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiVGd3S0t3VlVTbXJhcnpjYmFKUzkzUVVsVVJieEw0a3VoMmpySk8veXpiVmZ3NzFuUE81SG11REdKamVUTEx0OGJSQ0J2NjIzekw0WVFGYWMvOThwbWVhMk9tOWFKYnZmRy9sekVOU3FrT2RuVGw4ODNZU1hQTUcxTHRIYS82bzUzQ0lOcGJNMU5XRU5ad01Gd04rcjF0RjdJNzlIMXd1a2k5OUc0cVp5bTQrSUI3VCs4SXZjOE0zRVlNSk5UejY5L25iMkY5ejZHc01ZN2lMQ21CVnJEekZqUUZMN3kzUEltcUs0QnBEWk9YalVMUXZlWWVDVmdNUTY1T3pVaTUvV2ZKbDF6RDRtVW96STlWLzZwNmtxOUUydFBGczF3dUNYY1p6QjB6a0RqL05hYk1NRm5iSm1RMzhrSFNUcHcvRFhycXJpeVJsRlRxTzE1Z3ExaWg2ZU9rT1ZkR0Y5UFJLS1dxaE9xNCtxR3Raa3E2bVNYbzZzckNkYlpsV3NlMlh5VXllUW13ZVJ0T0hEd2xBeDdOaE1kQmE3S29Hb2QxeTdVQXV3U1lKNDhDNzFDWHRjSTBNS3dYdmQ5TE1zTXlkZUNlZVNMYzBFaDlyRVFSSFcyL2FvUG1aUFNhUWlDaGhoTng3QmpWLzVuUitGVzNJbzM5VUZVblhKUVk2TXU3bXh2WmtUeHVGdkYyYm1aYXVMSDlzU3lvUU1HQjNTTmJVUUlrNFc1UlhpSTB0L2dhMU1nZnpyQzRlRUtpV3dOL0lZMmM5VkdkL1ErbEtqNXNIM2dnYURsMGtkdUZZamZPMTNkdi8waFBUZXdCVmxEQk1pL1JCMXAxZ2NqUGZzWjg4cVlVbm12bStQcmJqejZwQW1FalNWNDRBeWVCc0pyZlBvOHoveFpDaXZyWFltRDBjSlk3OFVWM0Y3VCs5bTdualFkS3hGTWlRZXpPbDc3VzJKTmFuYmN0SENSNE1LdHdhcHNYd3lLUlp1aUdmZk9DMWdPVmdvbGhoYlhWMWw3Z0I1V3FZWFpGQXBadktoM0xweTVFaFdWdC9sRy9uOEJEMXFCbjZXQXRkYmZrVEVVZzJkSlVOZ1ErMnJQbWRGeWRneSsrN1dDbXVMZ3EzNWowL2RJN1ZaK1dYK2JLcGJjcThCU1VzYnRWYUI5N2VOUzFGTStoRlVUeVRoRkJWQmg5NXNkNW1vbmtEOUttODhXQ2FmY2ZyTDNsMjl1VTdkU000Z2FvL29aa3IzQ1dHL05HY2dDZlZkSEdjU2V6cHlXZjhaYmp1OWJ2UW1NTGUrYkF4TzRQdVpYRWU1MSsvdGpTK2dwT0hVYWE0eDZSenZ2UDl3T3ZxVUFXWkExb3VTa3QxWTBrbVl6M3MxVVMyQWZ0T0p2Mi93Q3grd3JYVEMxTlhDQTAzUDVia3l6ZjZZR1p1T3N5WWxidW42S2xJdE5VSFNRV0R2SXlaTnVYOEhFSlZBdDAxbnRUMlB0aG0yNTlGb1JrV2FFNGFuc3BCbGRiRmNzMjF0ejUzbHM3V2Fobi8zZWdXWFFPL2Rqcy9NSVBTYnV5VmVvWWlsa3RScUZXS1BRQTg2MnloWk1zZzhzbFFFbWhnVS9Oa0g0NThnQTFDbGJndExlMkVXeEF5RXh3ZWhIMlIzZnhxMkt3UWxLYnl5eXZybW9YcEdrVzBscUFZekFJV09ad0VkcnpuWExrZHlmQ2pFQ2FvUkZJVXFGWEJ6aVZSRjBpcGpwYTZwckE1bHNOK0hxRXFtL1JxM2tMbVVMc1BiR3hFWmhSR0VTNXpJa1BuZWpjZTNDcDh0d0IzYzBWZVhLZTdDak93R0RzYVJPU2t6U1ZYSjVmSHBOMDZvRDA3VGhXcUFYYWw0aHppdlRwNzZha3BMbHlSbGxhL3Z3bGNMKytmaUxQS0pUOFdMODVjWVFYNlo3OWFISFdxQzlXNlFZcEVESjBXelEyZmgvS0FuME1QdGozQkRWa2xEdkhUaUwrUkt1aVpEMmZidXpQbnRONkdHRkJ6cyJ9&nad_placement=SR_MAIN&from_sustainable_property_sr=1&from=searchresults
Embassy Suites Chicago - Downtown River North,8.3,167,https://www.booking.com/hotel/us/embassy-suites-chicago-downtown.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=2880209_388946510_2_1_0&highlighted_blocks=2880209_388946510_2_1_0&matching_block_id=2880209_388946510_2_1_0&sr_pri_blocks=2880209_388946510_2_1_0__16720&from=searchresults
Hampton Inn & Suites Chicago-Downtown,8.5,149,https://www.booking.com/hotel/us/hampton-inn-suites-chicago-downtown.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=2877819_95152758_2_1_0_934684&highlighted_blocks=2877819_95152758_2_1_0_934684&matching_block_id=2877819_95152758_2_1_0_934684&sr_pri_blocks=2877819_95152758_2_1_0_934684_14924&nad_id=3f931983-386f-45e2-a830-7d8ae7a93629_12&nad_cpc=1.29&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NjQ3ODYzOTc5MzcsInJhbmsiOjIsImtvZGRpVHJhY2tpbmdJbmZvIjoiVGd3S0t3VlVTbXJhcnpjYmFKUzkzUVVsVVM3eEwva2h0MmpxSk84U3piVmZ3M3JQeTNtUVdxSGlQK0UrakY0NmRCME5jVTZOM0xhcHpSbkwyR2hlTTAwSzBlVno2blpvb0RHNUFoM3NOSGVQcW1wVTdDcjMvanRwaVExL1I1SzRudlZhck90YmdzcGp2ejU3dklXVU1rMms4ZGxuRUg3SUZydG9mT1RWajZHWnlNZ0pCcG5NSXB4MVNJVnR5OXNrTWZZMUxvM1hzTXE4YWkwU29kWG1nQjN1S045OUJpM0l5KzhhQmpjSTZnNFBRMXJjNktXZHJFVStSOWZIeHNXa0VuWEVVTElCR0h1MTh2SGpwUmJadW40MTFxZzhCMDBHNEpISjNYczd6Y01mS1JGY0ZLOXRkMDlrSW96bUEzVVVQOHNPUHJVYkFOVmpoejZBcnh2Q0pvcEdiNi9rejhxRC9oSGxDL09PMlg1bmozZlRVT3MwQmhORkpOQy9MZUFIUzFabjZ2elMxSDlvZG1KYUZRQUlkWVduODBDMUVzdHBoYXZveU51YlZtdWlhcDYvTkJmZWUvOFRBZXVPYjB2czhKdzBhcGRrNzRmTFBJd2sxZ2k3TXlZc3RpTGgvVzdlc3RPT2hFL2tyeXU4SC9IZUhRaC9uaWIvZXhmVEJSWFlwM0NJYnR0QXV6L3hEMjlaeGc2VVRBcTFFYUw5bmJJaDF1akZ1UCtwYW8vMHFlTHUvNXFWUjVYZGdUNFZ3TUkyUVdOaDZNcWgrV2ExbnVhdHliV29LMjloNFFOa2QydjQ4T2tRSGV3WXJ0cEQ3SGhQWFlXd3prVXp4YllEK1IvTFYxUXF5UFM2RlNBU05INFA1RVJob0NTTHUreWxSMm45emdoWnNrcGRkeWMvcUFoODk1OXFteHFJR1BpUFk5YkJTSWxLek1SREpvcmtNcEE1dFdhZ1BvKzdVZHNzQ2d6a3orcy9DbEZOVC9wN0hNb25zbXFMSm5OalVNR1RodmpiQUNoQXdoMjBDZVk5L3FwSEZDaTVqUVlUODVUaDcxMVF5QnNDTmpmQWFRUTBCdC9Va2NidTJjTFZqdWd1QVZPME1IcHlLYloxdHo3ajByaCtTYit4bkpOL1N3cjRFcnd3ckQxYVE5ZGhCeC9BU3VtODhvbENFTEp6VWdEaEZuQ2VXN2xiRG92aFR6RnNhRjhnSzZsdmlSKzhSeW9ERURZandhcVVjSTh3dkNXdlF3K0JmblpLUDA2TEY0YzFTWnJJV2ljSkxLSnNTUFVOSG4zUTNCeGFzK3hCZ0lvb0RhaDBqVTRmczB0UEdqSHFXeXpUaVJ6VHhlc005ZnRZYVVCTlJmU0xTS2twbU91U2xGM1ZtelFNQzFQRGVZLzFldWNXQlA0djlUbzU3Q3ljSEx6UEpIRGRyc094RzN6K1dqV1BqekIvVmlaUVlLSmFWL1N6Z3lwVDNBanVrVzFReGNQTGFNQkFnb0JheU91ZlllVGFnbnNHMXRPVnZKVGRXaE1ENVpaNUpRMGxGTFFRN0NjMTJwT1ZDMHgzT0RUeEhDQkJLcXgyRVZGd0VxbjZVMkZjbnZIYlpzT2UxZVVTcHk1NHNQYXJmSElLUmpaVmxzVzdYbjR6cVA2cFFaS0V1U2FLMG9BOXF6MDAwMjBTcTRnSUUvRXhldHhsWUVRTVN1bmhya3FpNDhpUUE2SEFRRGk5VnN0QlRXQXF2VjdLOWdBMmlLblp6bHQ3ZHhLbGU4YlhlNnQ5QjQ5cWoxK3BySnNORTNIbHpxQ0s5ditIR0s2WHNHazhYM2RpTEZZTnFwZGhEZW1kRzBVKzlrYUtXUVpwTUxCWGFPTzUvZTZ3a2FwdVJyME5UYlNGUUVadFVDQ0RLZDJORGdsNVoyU0dKOEtNVGcza1lkTnBMZ0lCcmRlYjYrL3R5VDA0cU1NZm1BRkZDQm1SUlR6Zy9FMjAyamgyVllSYlQzOG1HU2NmbEVqc0JPOD0ifQ%3D%3D&nad_placement=SR_MAIN&from_sustainable_property_sr=1&from=searchresults
Hyatt Place Chicago/Downtown - The Loop,8.2,144,https://www.booking.com/hotel/us/hyatt-place-chicago-47-downtown-the-loop.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=135313306_93780303_2_2_0&highlighted_blocks=135313306_93780303_2_2_0&matching_block_id=135313306_93780303_2_2_0&sr_pri_blocks=135313306_93780303_2_2_0__14365&from=searchresults
Homewood Suites By Hilton Chicago Downtown South Loop,8,131,https://www.booking.com/hotel/us/homewood-suites-by-hilton-chicago-downtown-south-loop.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=463762201_402989542_2_1_0_1254594&highlighted_blocks=463762201_402989542_2_1_0_1254594&matching_block_id=463762201_402989542_2_1_0_1254594&sr_pri_blocks=463762201_402989542_2_1_0_1254594_13120&nad_id=3f931983-386f-45e2-a830-7d8ae7a93629_5&nad_cpc=1.48&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NjQ3ODYzOTc5MzksInJhbmsiOjMsImtvZGRpVHJhY2tpbmdJbmZvIjoiVGd3S0t3VlVTbXJhcnpjYmFKUzkzUVVRVVJieEwwa2hsMmpxSk84U3piVmZ3M3JQeTNtUVdxSGlQK0UrakY0NmRCME5jVTZORkRIQi8wenJWbXBlTTAwSzBlVno2WFprb0RDNWJXS2pKaEE4VGlVekwrWTI2a0VNcFh5cXlJM0Nmbno0ajgvaDdYK09HVmRybmRic1BPNGsyWnV5RVhIei8va3RXbTRUTHE5RlY2NlpLTmJXYTVtcWVEUXV4V2VPR241Mk42MUJQWVgxdCtDL2ZMQzI0c2JYMDZyRFVaRVlJYWRaTzR6MTUxdTJVRktDOU9BVnpQNzFXd3ZVekR1SXp4NUNKS1FzQ1hZaVJHZUt4SU9yMXVHd3BZMDNXVXR6QXR1Um1LQUgzR2lXYWxUNnExbUlHNDlzZTBSQnM2SjNMZExZekRGRVRxTzE1Z1JWamg2ZU9rT2RkR0Y5UFJKS1c2eGMzeUQrMi9mQXJmb0psMVU2WDBWZUpOQUF2eVowaHdTZ3dTUDFOVVdCNGo1cWNWZlJlT2tYN2dSLzUxMWxrdlBlRUJRWmltYUVyQzE2S1BEQUE4aFF3bktTQlZMTzVhSytZVjJqY3prYXhjUVowWnlXWDVhMllzNUNWMVptR3JPZUVyc0tSQUF0RlBiMTJFVm5WTWpxOHBYcFN1K1FHN1F5WXRUTm4yM2RGa1lxS0diTWZ1UVdRbXN2UXlGZG16SXZxU3BidHhuWjZ0azUyWG1ob2lqRG8zbjFLOExUazJxQXRlQW9vNVh6ZXhGMUxRQm41UjEwVSs1alA2ZmIxdlVlS0g0ZVVrUnlPRHd1bVdGVDVWVm02Q2R0MEVZcmtWSlVudTI4ajljSjhtaGxsN2JndUpDbFNjTVFIaks5Mmo4dU9MY1JRSjlxeTdKaTcxaWNDR0NvQ2kzSDZuT0V0R3lQSzM2VzRJbWI4VVFJclpTS1R2N1VLbk05SGVVUlVXN1Vid3piRVQ0OHdzSGk5L3dVd3FmYTJwRFN4Vm1TSEJDakk5KzltYzgrSGU5U0hwZHZTVkJNT2JQTlVEWjhsRkV3U1V3Ull3cWdKay8vc1dnQ2lXQ2dFU1U5UDlQVjVxRW9ra3g3cE5zNnVLYWljSWVoRlcyRFFHTjZvdzBSS2l5U2F2Uno1OTZaMG9IU3M1ZEFLMDVDRzQvTTBCc25xRnFBNFZTNkNvZHZqNFVoa01SWjNjSnRSN3lEQXJGZm05SVFSNXlHaXE5bFg5bk9WMm50a3lkNk1qUDdERFhaWFprazJTZ0pFbUFzLzFta1V5Vk82dnZjZ3dQMjY3Q0FySTN3YmRWa2lmYVJFUGdrQmhpOTEyZDh4T0VYeEJUaTRObUloZWRQenRBNDB1WVZtelBGZGRQYUhSVmNFSURZVWRXaDRETUl2MVhsWVRMQ3pZdURrQkZPcXp1eGRDNjFkVzFQa1I5em0rcm1WZjlWdGllQ1NSSXZBeWdIMnRBSkg4OHVUNlUvZEp6d0dSOVR1ejh0Z09XOVcyM2Jtcmg1UFRHM042NVpCY0pMRTV3ZW4ydjh5MHF2d1E4aUhXeFYxaHN0SkVQaVdLOEVtbDlCT0c5ckV1eGJlNzJkYVI0SVpKS25FRTBseHBBZFpwNkFzeW9IRHc1OFcxSFQvOXIxN1pzdmtGUGVVT1FNdjZGTHM4T1V2ZzlYVGRlTDFGbXlOdk5ZVUR2dDVFS0JrSWlPWThPM0hMZHRhcG5VSzdDbnlOTnRCeURQd0k1T25TKzdiR0dTcVYyY2VTWWtRZW8zL1JIcmsvS2RWZ0JEcWJOaE5GbTBBMkFhQXJ4WTVuR3c2M3N3MGtjN0hjOGd2RCtod1RXS3VhajdBUEN4Y3Y0dmFVYzBZc2RPejIzUFVGTDFudS9ReWdIaDZxY3RaOTBxRldVTkkwaFgrS2liQm5DU2U4UHNjd2lZNS9qenJXelIycU1nY0FQNWM4UVl2U0xINlVBU1pBUnhqMXVRa0pwMnlPcUF6TTdUaTZwTCJ9&nad_placement=SR_MAIN&from=searchresults
HI Chicago Hostel,8.5,80,https://www.booking.com/hotel/us/hostelling-international-chicago.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=5613003_127781244_0_0_0&highlighted_blocks=5613003_127781244_0_0_0&matching_block_id=5613003_127781244_0_0_0&sr_pri_blocks=5613003_127781244_0_0_0__8000&from=searchresults
Travelodge by Wyndham Downtown Chicago,7.4,111,https://www.booking.com/hotel/us/chicago-t.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=5924324_246077187_2_0_0&highlighted_blocks=5924324_246077187_2_0_0&matching_block_id=5924324_246077187_2_0_0&sr_pri_blocks=5924324_246077187_2_0_0__11135&from=searchresults
Congress Plaza Hotel Chicago,7.4,119,https://www.booking.com/hotel/us/congress-plaza.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=5624405_198664145_0_42_0&highlighted_blocks=5624405_198664145_0_42_0&matching_block_id=5624405_198664145_0_42_0&sr_pri_blocks=5624405_198664145_0_42_0__11885&from=searchresults
The Study at the University of Chicago,9,229,https://www.booking.com/hotel/us/the-study-at-the-university-of-chicago.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9jaGljYWdvSDFYBGiUAogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC3YHCyQbAAgHSAiQ5OGNmZTVkOC1mOTdlLTRhODktOTFhNS1iOGU4NGFkOTI5MTXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-12-12&checkout=2025-12-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=483d81aea540015c&srepoch=1764786432&all_sr_blocks=979916504_371031935_2_0_0&highlighted_blocks=979916504_371031935_2_0_0&matching_block_id=979916504_371031935_2_0_0&sr_pri_blocks=979916504_371031935_2_0_0__22900&from=searchresults
